You are now connected to database "filmz_app_test" as user "craig".
 adult |          backdrop_path           | genre_ids  |   id    | original_language |                              original_title                               |                                                                                                                                                                                                                                                                                                                                      overview                                                                                                                                                                                                                                                                                                                                      | popularity |           poster_path            | release_date |                                   title                                   | video | vote_average | vote_count 
 f     | /4LOxoeZWt5wr9mooxEZRFK96lDd.jpg | {99}       |  483898 | en                | 50 Greatest Harry Potter Moments                                          | To mark the release two weeks ago of the eighth and final movie in the series, Robbie Coltrane narrates a countdown of the movie franchise's best moments. From Harry's first meeting with Ron and Hermione aboard the Hogwarts Express through to magical mysteries.                                                                                                                                                                                                                                                                                                                                                                                                              |     24.532 | /g1xiBoLD6v3ZaXPa4QtuXiQeYKW.jpg | 2011-07-27   | 50 Greatest Harry Potter Moments                                          | f     |        7.315 |        108
 f     | /mjCYpJXCBYDZgMr1U1KZcFgFDfC.jpg | {99}       |  482408 | en                | Harry Potter: A History Of Magic                                          | A thrilling journey through legends, belief and folklore, this film goes behind the scenes with the British Library as they search to tell that story through objects in their collection, in an ambitious new exhibition: Harry Potter: A History Of Magic.  J.K. Rowling, who is lending unseen manuscripts, drawings and drafts from her private archives (which will sit alongside treasures from the British Library, as well as original drafts and drawings from Jim Kay) talks about some of the personal items she has lent to the exhibition and gives new insight into her writing, looking at some of the objects from the exhibition that have fired her imagination. |     16.565 | /kkzDng2S8w2hT1gap7MdMdx7uUE.jpg | 2017-10-28   | Harry Potter: A History Of Magic                                          | f     |          7.2 |         84
 f     |                                  | {}         |  919590 | de                | Phantastische Harry Potter Momente - Das große SAT.1 Spezial              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     11.352 | /1Ci05BbrRgc8qwKSvliJH6gqzol.jpg | 2021-10-31   | Phantastische Harry Potter Momente - Das große SAT.1 Spezial              | f     |        6.283 |         23
 f     |                                  | {99}       | 1082707 | en                | The Magic Touch of Harry Potter                                           | A 2004 documentary on the first three “Harry Potter” films detailing the behind-the-scenes journey of making them.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |      8.818 | /gwFARNYf1Odv3E8ESVHyikXmMIY.jpg | 2004-06-11   | The Magic Touch of Harry Potter                                           | f     |          7.5 |         10
 f     |                                  | {99}       |  918078 | en                | Daniel Radcliffe: Being Harry Potter                                      | BBC docuemntary about Daniel Radcliffe and his role as the main character in Harry potter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |      5.562 | /4keobTsQVrMS2JwE3TRod0SrYTD.jpg | 2012-10-10   | Daniel Radcliffe: Being Harry Potter                                      | f     |          6.1 |         20
 f     | /zikoNIlodwkPhAU9iAwN17sOTrD.jpg | {99}       | 1118680 | fr                | Harry Potter : les secrets du phénomène                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      7.465 | /7iJ20z09sZpbl0vgj4NIbnUDcfN.jpg | 2023-04-26   | Harry Potter : les secrets du phénomène                                   | f     |         7.75 |          2
 f     |                                  | {99,14}    | 1039274 | en                | Harry Potter: A Spirit Conspiracy?                                        | The Occult Agenda documentary series is designed to awaken the church and non-believers alike to the spiritual warfare happening in the world today. Part I focuses on the Harry Potter phenomenon that has swept the world since author J.K. Rowling introduced her best-selling book series. But is Potter-mania merely the result of imaginative writing and clever marketing? Or could there be a hidden power behind the craze that has cast a spell on adults and children alike?                                                                                                                                                                                            |      4.623 | /e8jvqpVbVeVlSOV216sOIZmykGA.jpg | 2005-09-22   | Harry Potter: A Spirit Conspiracy?                                        | t     |          6.3 |          9
 f     |                                  | {99}       |  256050 | en                | The Magical World of Harry Potter: The Unauthorized Story of J.K. Rowling | The unauthorized story of J.K. Rowling--creator of Harry Potter.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |      1.802 |                                  | 2000-08-08   | The Magical World of Harry Potter: The Unauthorized Story of J.K. Rowling | f     |          7.2 |          6
 f     |                                  | {99}       |  319391 | en                | J.K. Rowling and the Birth of Harry Potter                                | In this fascinating (unauthorized) biographical documentary, you'll get the inside scoop on the creative force behind one of the greatest publishing phenomena in the last 100 years -- J.K. Rowling, author of the Harry Potter series of books. Explore Rowling's meteoric rise from obscurity into the ranks of the world's richest women (via her books), and visit the people and places that played a significant role in her life.                                                                                                                                                                                                                                          |      3.262 | /hY6Ndq1O4JiEngZ7xIOtcLUCDTX.jpg | 2004-12-07   | J.K. Rowling and the Birth of Harry Potter                                | t     |          6.8 |         19
 f     |                                  | {10751,99} |  116972 | en                | Discovering the Real World of Harry Potter                                | Explore the myths and legends that inhabit the real world of Harry Potter. Follow award-winning documentary filmmakers as they offer insights to witches, wizards, Greek gods, ancient Celts, ghosts, magical creatures, alchemy, and ancient spells. Narrated by British actor Hugh Laurie, this fascinating documentary brings new dimensions to the historical and scientific world behind the Harry Potter series.                                                                                                                                                                                                                                                             |      2.002 | /yLpnOqKw3ZycFu8t5Gil1BqTbnB.jpg | 2001-12-10   | Discovering the Real World of Harry Potter                                | f     |          6.5 |         21
 f     |                                  | {99}       |  500008 | en                | Harry Potter: The Making of Diagon Alley                                  | An inside look into the creation of Universal Studio's Diagon Alley attraction.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       1.96 |                                  | 2014-06-30   | Harry Potter: The Making of Diagon Alley                                  | f     |          4.4 |         11
(20 rows)

